id,<病院（保健所別） H27.10.1現在>,hospital_name,開設許可年月日,開設年月日,postal_num,address,開設者コード,開　設　者,管　理　者,services,emergency,phone_number,latitude,longtitude,sickbed_num,general,recuperation,psychosis,tuberculosis,infected,matanity_delivery
2,市立函館,市立函館病院,H9.11.25,H12.10.8,041-8680,函館市港町1丁目10番1号,6,函館市,木村　純,内|精|神内|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|放|歯|矯歯|歯外|麻|リウ|呼外|乳腺外科|循環器内科|呼吸器内科|消化器内科|リハ|血液内科|消化器外科|病理診断科，救急科,○,0138-43-2000,41.8055649,140.7302199,668,582,,50,30,6,○
6,市立函館,共愛会病院,S33.3.5,S33.7.28,040-0014,函館市中島町7番21号,22,社会福祉法人函館共愛会,水島　豊,内|呼|消|循|小|外|整|脳|皮|泌|産婦|眼|耳|リハ|放|歯|歯外|麻,○,0138-51-2111,41.7854477,140.7404144,378,245,133,,,,○
7,市立函館,函館中央病院,S11.8.7,S11.8.7,040-0011,函館市本町33番2号,22,社会福祉法人函館厚生院,橋本　友幸,内|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|リハ|放|歯外|麻|消化器内科|循環器内科|病理診断科|消化器外科|乳腺外科|肛門外科,○,0138-52-1231,41.7867868,140.7517385,527,527,,,,,○
8,市立函館,函館五稜郭病院,S25.2.16,S25.2.16,040-8611,函館市五稜郭町38番3号,22,社会福祉法人函館厚生院,老松　寛,内|小|外|整|形|脳|心外|小外|泌|産婦|眼|耳|リハ|放|歯外|麻|消化器内科|循環器内科|腎臓内科|呼吸器内科|呼吸器外科|病理診断科|消化器外科　　,○,0138-51-2295,41.7924336,140.7555212,516,516,,,,,○
23,市立函館,秋山記念病院,H16.8.3,H16.9.1,041-0802,函館市石川町41番地9,19,医療法人社団正寿会,秋山　實男,産|婦|乳腺外科|麻,,0138-46-6660,41.8279403,140.7402459,57,57,,,,,○
39,江差,北海道立江差病院,H8.10.28,H10.7.10,043-0022,檜山郡江差町字伏木戸町484番地,5,北海道,寺井　紀雄,内|精|神|小|外|整|産婦|眼|耳|リハ|泌|皮|麻|消内|循内|呼内|腎臓内科,○,0139-52-0036,41.9133846,140.1448073,198,146,,48,,4,○
49,八雲,八雲総合病院,S32.9.1,S32.10.3,049-3105,二海郡八雲町東雲町50番地,6,八雲町,佐藤　博,内|精|心臓血管内科|リウ|小|外|整|脳|皮|泌|産婦|眼|耳|リハ|放|歯|麻,○,0137-63-2185,42.2526883,140.2780505,358,214,40,100,,4,○
57,札幌市,ＪＡ北海道厚生連札幌厚生病院,平4.11.12,平6.10.1,060-0033,札幌市中央区北3条東8丁目5番地,10,北海道厚生農業協同組合連合会,狩野　吉康,内|呼吸器内科|消化器内科|循環器内科|小|外|整|皮|泌|産婦|眼|耳|リハ|放|麻|神内|心外|精|緩和ケア|「糖尿病|内分泌内科」|血液内科|化学療法内科|消化器外科|病理診断科,○,011-261-5331,43.0675817,141.3691834,519,519,,,,,○
61,札幌市,市立札幌病院,平6.7.13,平7.10.11,060-0011,札幌市中央区北11条西13丁目1番1号,6,札幌市,関　利盛,内|精|神内|リウ|小|外|整|形|脳|呼外|小外|皮|泌|産婦|眼|耳|リハ|麻|呼吸器内科|消化器内科|消化器外科|循環器内科|腎臓内科|血液内科|腫瘍内科|乳腺外科|病理診断科|救急科|歯外|心外|糖尿病内分泌内科|新生児内科|緩和ケア内科|感染症内科|腎臓移植外科|放射線診断科|放射線治療科,○,011-726-2211,43.0707969,141.3343443,798,752,,38,,8,○
66,札幌市,ＮＴＴ東日本札幌病院,昭60.4.1,昭60.4.1,060-0061,札幌市中央区南1条西15丁目290番地,21,東日本電信電話株式会社,小池　隆夫,精|呼吸器内科|消化器内科|循環器内科|小|外|消化器外科|呼吸器外科|整|皮|泌|産婦|眼|耳|放|麻|心外|腎臓内科|人工透析内科|「血液|腫瘍内科」|糖尿病内分泌内科|リウ|病,○,011-623-7000,43.055721,141.3344646,301,301,,,,,○
67,札幌市,札幌医科大学附属病院,平19.4.1,平19.4.1,060-0061,札幌市中央区南1条西16丁目291番地,22,北海道公立大学法人札幌医科大学,山下　敏彦,内|精|循|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|リハ|放|歯|歯外|麻|神内|矯歯|救|病,○,011-611-2111,43.0552099,141.3334036,938,890,,42,6,,○
93,札幌市,札幌マタニティ・ウイメンズホスピタル,平5.8.26,平5.9.6,001-0013,札幌市北区北13条西4丁目2番23号,19,医療法人明日葉会,大久保　仁,小|産|婦,,011-746-5505,43.0767188,141.3471289,52,52,,,,,○
94,札幌市,北海道大学病院,大10.7.22,大10.11.1,060-0814,札幌市北区北14条西5丁目,2,国立大学法人北海道大学,福田　諭,内|消化器内科|循環器内科|血液内科|腫瘍内科|精|神内|小|小外|整|形|脳|循環器外科|消化器外科|呼吸器外科|皮|泌|産|「乳腺|内分泌内科」|眼|耳|リハ|放|放射線診断科|放射線治療科|歯|矯歯|小歯|歯外|麻|救,○,011-716-1161,43.0777603,141.3458511,946,874,,72,,,○
117,札幌市,天使病院,平15.6.20,平15.7.1,065-0012,札幌市東区北12条東3丁目1-1,19,社会医療法人母恋,藤井　ひとみ,内|呼吸器内科|消化器内科|循環器内科|外|小児外科|乳外|産婦|小|麻|整|耳|眼|精|放|血液内科|糖尿病内科|肝臓内科|人工透析内科,○,011-711-0101,43.0762609,141.3572447,260,260,,,,,○
120,札幌市,医療法人育愛会　札幌東豊病院,平元.8.9,平元.9.1,065-0017,札幌市東区北17条東15丁目3番1号,19,医療法人育愛会,出口　圭三,小|産|婦|麻,,011-704-3911,43.0849047,141.3724097,67,67,,,,,○
146,札幌市,医療法人社団明珠会　札幌白石産科婦人科病院,平7.5.22,平7.6.1,003-0005,札幌市白石区東札幌5条6丁目6番28号,19,医療法人社団明珠会,明石　祐史,産|婦|麻|新生児内科,,011-862-7211,43.0482327,141.3983619,41,41,,,,,○
156,札幌市,勤医協札幌病院,昭38.10.17,昭38.12.18,003-0804,札幌市白石区菊水4条1丁目9番22号,18,公益社団法人北海道勤労者医療協会,尾形　和泰,内|精|神|消|呼|循|小|外|整|皮|産|婦|眼|耳|リハ|放|アレ|リウ|心内|麻,,011-811-2246,43.0595049,141.373178,105,105,,,,,○
172,札幌市,独立行政法人地域医療機能推進機構札幌北辰病院,平2.5.8,平2.6.1,004-8618,札幌市厚別区厚別中央2条6丁目2番1号,22,独立行政法人地域医療機能推進機構,佐々木　文章,内|呼吸器内科|消化器内科|消化器外科|循環器内科|リウ|小|外|整|皮|泌|産婦|眼|耳|リハ|麻|放射線診断科|病理診断科|血液内科|腎臓内科|糖尿病内科|乳腺外科,○,011-893-3000,43.0420125,141.4737891,276,276,,,,,○
178,札幌市,医療法人徳洲会　札幌徳洲会病院,昭58.4.15,昭58.5.1,004-0041,札幌市厚別区大谷地東1丁目1番1号,19,医療法人徳洲会,奥山　淳,内|消化器内科|胃腸内科|循環器内科|小|外|整|形|皮|泌|産婦|肛門外科|麻|眼|耳|脳|リハ|放|歯|歯外|病理診断科|アレ|乳腺外科,○,011-851-1110,43.0292661,141.4479226,301,301,,,,,○
194,札幌市,独立行政法人地域医療機能推進機構北海道病院,昭33.9.1,昭33.9.1,062-0921,札幌市豊平区中の島1条8丁目3番18号,22,独立行政法人地域医療機能推進機構,河田　哲也,内|呼吸器内科|消化器内科|小|小(新生児)|外|整|皮|泌|産婦|眼|耳|放射線診断科|麻|心外|リウ|神内|腎臓内科|呼吸器外科|病理診断科|心臓内科|「糖尿病|内分泌内科」,○,011-831-5151,43.0257027,141.35607,358,312,,,46,,○
195,札幌市,ＫＫＲ札幌医療センター,昭27.11.20,昭27.11.27,062-0931,札幌市豊平区平岸1条6丁目3番40号,16,国家公務員共済組合連合会,赤坂　嘉宜,内|呼吸器内科|消化器内科|循環器内科|神内|腫瘍内科|外|消化器外科|呼外|乳腺外科|小児外科|脳|整|精|眼|皮|産婦|麻|耳|泌|放|放射線診断科|リハ|病理診断科|救急科|小|小児科(新生児)|「代謝|内分泌内科」|緩和ケア内科|腫瘍外科|人工透析外科|内分泌外科|心臓外科|血管外科|臨床検査科|心臓血管外科|「脳神経|内分泌外科」,○,011-822-1811,43.0364239,141.3672184,450,450,,,,,○
215,札幌市,社会医療法人孝仁会　五輪橋産科婦人科小児科病院,平9.12.19,平10.1.1,005-0802,札幌市南区川沿2条1丁目2番55号,19,社会医療法人孝仁会　　,眞名瀬　賢吾,小|産|婦|麻,,011-571-3110,42.9987547,141.3385592,61,61,,,,,○
224,札幌市,自衛隊札幌病院,,平27.3.26,005-0008,札幌市南区真駒内１７番地,4,防衛大臣,千先　康二,内|外|脳外|整|精|小|皮|泌|産婦|眼|耳|リハ|放|歯|麻,○,011-831-0161,42.9917339,141.358466,200,170,,30,,,○
258,札幌市,北海道立子ども総合医療・療育センター,平16.7.13,H19.9.1,006-0041,札幌市手稲区金山1条1丁目240?6,5,北海道,鈴木　信寛,小|小児神経内科|新生児内科|小児内分泌内科|小児血液腫瘍内科|小児循環器内科|小外|小児心臓血管外科|小児脳神経外科|小児形成外科|小児眼科|小児耳鼻咽喉科|小児泌尿器科|小児精神科|リハ（小児）|リハ（整形)|整|小児歯科口腔外科|麻|放|産|病理診断科,,011-691-5696,43.1287196,141.2111592,215,215,,,,,○
262,札幌市,手稲渓仁会病院,昭62.11.30,昭62.12.16,006-0811,札幌市手稲区前田1条12丁目1番40号,19,医療法人渓仁会,成田　吉明,内|外|呼外|心外|整|脳|形|精|リウ|小|皮|泌|産|婦|眼|耳|麻|歯|歯外|小歯|呼吸器内科|循環器内科|消化器内科|血液内科|腎臓内科|消化器外科|頭頸部外科|放射線診療科|放射線治療科|病理診断科|救急科|腫瘍内科|リハ|乳腺外科,○,011-681-8111,43.1222769,141.2431129,595,595,,,,,○
270,江別,江別市立病院,昭26.４.１,昭26.４.１,067-8585,江別市若草町6番地,6,江別市,梶井　直文,内|精|神内|呼|消|循|小|外|整|皮|泌|産婦|眼|耳|放|麻|リハ,○,011-382-5151,43.1119716,141.545779,337,278,,59,,,○
284,千歳,市立千歳市民病院,H11.3.16,H14.9.1,066-8550,千歳市北光2丁目1番1号,6,千歳市,川向　裕司,内|消|循|小|外|整|脳|皮|泌|産婦|眼|耳|麻,○,0123-24-3000,42.8437129,141.6392254,190,190,,,,,○
307,小樽市,社会福祉法人北海道社会事業協会小樽病院,T14.9.1,T14.9.1,047-0014,小樽市住ノ江1丁目6番15号,9,社会福祉法人北海道社会事業協会,柿木　滋夫　　　　,内|外|呼外|整|形|小|産婦|放|呼|消化器内科|循|麻|病理診断科|リハ,○,0134-23-6234,43.1857624,141.0049864,240,240,,,,,○
325,倶知安,ＪＡ北海道厚生連倶知安厚生病院,S20.4.5,S20.4.5,044-0004,虻田郡倶知安町北4条東1丁目2番地,10,北海道厚生農業協同組合連合会,九津見　圭司,内|精|神内|消|循|小|外|整|皮|泌|産婦|眼|耳|リハ|麻|脳,○,0136-22-1141,42.9047733,140.754831,234,172,,60,,2,○
332,岩見沢,岩見沢市立総合病院,S30.4.5,S30.4.7,068-8555,岩見沢市9条西7丁目2番地,6,岩見沢市,中島　保明,内|精神神経|小|外|整|形|脳|皮|泌|産婦|眼|耳|放|麻,○,0126-22-1650,43.1953321,141.7654765,484,365,,115,,4,○
356,滝川,滝川市立病院,S46.3.31,S46.4.1,073-0022,滝川市大町2丁目2番34号,6,滝川市,堤　明人,内|外|整|小|皮|泌|産婦|眼|耳|リハ|放|麻|精神神経科,○,0125-22-4311,43.5588586,141.9117504,314,270,,44,,,○
362,滝川,砂川市立病院,S24.12.26,S26.11.30,073-0196,砂川市西4条北3丁目1番1号,6,砂川市,小熊　豊,内|循環器内科|神内|外|呼外|心外|整|脳|形|精|小|皮|泌|産婦|眼|耳|リハ|放射線診断科|放射線治療科|病理診断科|救急科|麻|歯,○,0125-54-2131,43.4945763,141.9047371,498,408,,80,6,4,○
369,深川,深川市立病院,昭38.５.１,昭38.５.１,074-0006,深川市6条6番1号,6,深川市,藤澤　真,内|小|外|整|脳|皮|泌|肛|産婦|眼|耳|リハ|放|麻|循|呼|消,○,0164-22-1101,43.7161052,142.0403063,203,199,,,,4,○
377,室蘭,総合病院伊達赤十字病院,S14.12.21,S15.8.28,052-0021,伊達市末永町81番地,7,日本赤十字社,武智　茂,内|神内|呼|消|循|精|小|外|整|皮|泌|産婦|眼|耳|リハ|放|麻|神,○,0142-23-2211,42.4762504,140.8705918,374,270,44,60,,,○
379,室蘭,社会医療法人製鉄記念室蘭病院,H4.4.22,H4.5.1,050-0076,室蘭市知利別町1丁目45番地,19,社会医療法人製鉄記念室蘭病院,前田　征洋,内|呼吸器内科|消化器内科|消化器外科|循環器内科|小|外|整|心外|皮|泌|産婦|眼|耳|リハ|放|麻|脳|呼外|病理診断科,○,0143-44-4650,42.3574153,141.0167915,347,347,,,,,○
380,室蘭,日鋼記念病院,S55.9.27,S55.10.1,051-0005,室蘭市新富町1丁目5番13号,19,社会医療法人母恋,柳谷　晶仁,内|呼吸器内科|消化器内科|消化器外科|循環器内科|リウ|小|整|形|外|脳|心外|小外|皮|泌|産婦|眼|耳|リハ|放|歯|小歯|歯外|麻||病理診断科,○,0143-24-1331,42.3153169,140.9838541,479,432,47,,,,○
397,苫小牧,苫小牧市立病院,H16.6.14,H18.10.1,053-8567,苫小牧市清水町1丁目5番20号,6,苫小牧市,松岡　伸一,内|神内|消化器内科|呼吸器内科|循環器内科|小|外|整|皮|泌|産婦|眼|耳|歯|歯外|麻|脳|放射線治療科|リハ|内視鏡外科|病理診断科|新生児科,○,0144-33-3131,42.6520752,141.6033788,382,378,,,,4,○
401,苫小牧,王子総合病院,H7.12.25,H9.5.1,053-0021,苫小牧市若草町3丁目4番8号,19,医療法人王子総合病院,大岩　均,内|精|神内|呼吸器内科|循環器内科|消化器内科|小|外|整|脳|心外|皮|泌|産婦|眼|耳|放射線治療科|歯|麻|血液腫瘍内科|呼外,○,0144-32-8111,42.6385073,141.6047162,440,440,,,,,○
414,浦河,総合病院浦河赤十字病院,S30.5.31,S31.6.1,057-0007,浦河郡浦河町東町ちのみ1丁目2番1号,7,日本赤十字社,武岡　哲良,内|精|神|小|外|整|皮|泌|産婦|眼|耳|リハ|放|麻|脳|血管外科,○,0146-22-5111,42.159337,142.7879195,246,141,51,50,0,4,○
424,旭川市,旭川医科大学病院,S51.3.10,S51.11.1,078-8802,旭川市緑が丘東2条1丁目1番1号,2,国立大学法人旭川医科大学,平田　哲,精|小|整|脳|心外|小外|皮|泌|産|婦|眼|耳|放|リハ，歯外|麻，救急，循環器内科，腎臓内科，呼吸器内科，脳神経内科，糖尿病内科，内分泌内科，消化器内科，血液|腫瘍内科，血管外科，呼吸器外科，乳腺外科，消化器外科，頭頸部外科,○,0166-65-2111,43.7298827,142.3843467,602,571,,31,,,○
427,旭川市,市立旭川病院,S20.9.17,S21.11.3,070-0029,旭川市金星町1丁目1番65号,6,旭川市,子野目　政昭,内|精|神内|呼吸器内科|循環器内科|血液内科|糖尿病|代謝内科|消化器外科|乳腺外科|消化器内科|呼外|小|外|整|心外|皮|泌|産婦|眼|耳|放|歯外|麻，病理診断科,○,0166-24-3181,43.7784235,142.3659768,502,396,,100,,6,○
428,旭川市,旭川赤十字病院,T11.9.28,T11.9.28,070-0061,旭川市曙1条1丁目1番1号,7,日本赤十字社,牧野　憲一,内|精|神内|呼吸器内科|消化器内科|消化器外科|循環器内科|糖尿病内分泌内科|腎臓内科|血液|腫瘍内科|救急科|病理診断科|小|外|整|形|脳|心外|泌|産婦|眼|耳|リハ|放|歯外|麻|皮,○,0166-22-8111,43.7696295,142.3483042,554,514,,40,,,○
429,旭川市,ＪＡ北海道厚生連旭川厚生病院,S62.1.27,S63.3.30,078-8211,旭川市1条通24丁目111番地3,10,北海道厚生農業協同組合連合会,森　達也,内|精|神内|呼|消|循|小|外|整|形|呼外|皮|泌|産婦|眼|耳|リハ|放|麻，病理診断科,○,0166-33-7171,43.7588319,142.3849006,539,539,,,,,○
437,旭川市,医療法人社団弘和会森産科婦人科病院,S62.3.24,S62.4.1,070-0037,旭川市7条通7丁目左2号,19,医療法人社団弘和会,森　泰宏,産|婦|麻|美容皮膚科,,0166-22-6125,43.7728768,142.3619859,46,46,,,,,○
470,名寄,名寄市立総合病院,平2.1.5,平4.6.13,096-0017,名寄市西7条南8丁目1番地,6,名寄市,和泉　裕一,内|精|神内|呼吸器内科|消化器内科|糖尿病代謝内科|循環器内科|小|外|整|脳|呼外|心外|皮|泌|産婦|眼|耳|放|麻|心内|救急,○,01654-3-3101,44.3485052,142.4513522,359,300,,55,,4,○
477,富良野,社会福祉法人北海道社会事業協会富良野病院,平17.8.31,平19.4.28,076-8765,富良野市住吉町1番30号,9,社会福祉法人北海道社会事業協会,羽根田　俊,内|小|外|心外|整|皮|泌|産婦|眼|耳|リハ|麻|呼吸器内科|循環器内科|消化器内科|神内,○,0167-23-2181,43.3476671,142.392677,255,195,56,,,4,○
486,留萌,留萌市立病院,H10.3.24,H13.8.24,077-0011,留萌市東雲町2丁目16番地,6,留萌市,高橋　文彦,内|小|外|整|皮|泌|呼吸器内科|産婦|眼|耳|麻|脳|神経精神科|形|消化器内科|循環器内科|放|リハ,○,0164-49-1011,43.931398,141.6778788,354,300,50,, ,4,○
491,稚内,市立稚内病院,S33.12.5,S34.2.14,097-0022,稚内市中央4丁目11番6号,6,稚内市,國枝　保幸,内|消化器内科|血液内科|神内|循環器内科|精|小|外|整|皮|泌|産婦|眼|耳|放|麻|リハ,○,0162-23-2771,45.4131645,141.6734406,362,258,,100,,4,○
506,北見,北見赤十字病院,S10.10.31,S10.11.10,090-8666,北見市北6条東2丁目1番地,7,日本赤十字社,吉田　茂夫,内|神経精神科|循環器内科|消化器内科|小|外|整|形|脳|皮|泌|産婦|眼|頭頸部|耳鼻咽喉科|放|麻|ペインクリニック|心療内科|リハ|消化器外科|緩和ケア内科,○,0157-24-3115,43.8083532,143.8930482,532,490,,40,,2,○
514,北見,医療法人社団公和会中村記念愛成病院,H24.10.19,H24.11.12,090-0051,北見市高栄東町4丁目20番1号,19,医療法人社団公和会,山内　智文,産|婦|小,,0157-24-8131,43.8189628,143.8745077,41,41,,,,,○
522,網走,ＪＡ北海道厚生連網走厚生病院,S17.12.14,S19.10.15,093-0076,網走市北6条西1丁目9番地,10,北海道厚生農業協同組合連合会,藤永　明,内|循|小|外|整|皮|泌|産婦|眼|耳|放|麻|消,○,0152-43-3157,44.0254812,144.2631518,366,364,,,,2,○
529,紋別,ＪＡ北海道厚生連遠軽厚生病院,H2.8.31,H4.4.1,099-0404,紋別郡遠軽町大通北3丁目1番5号,10,北海道厚生農業協同組合連合会,矢吹　英彦,内|循環器内科|消化器内科|小|外|消化器外科|整|脳|皮|泌|産婦|眼|耳|リハ|放|精|麻,○,0158-42-4101,44.0626642,143.5240945,337,285,50,,,2,○
534,紋別,広域紋別病院,H27.3.18,H27.4.17,094-8709,紋別市落石町1丁目3番37号,6,広域紋別病院企業団,及川　郁雄,内|精|神内|小|外|整|皮|泌|産婦|眼|耳|リハ|放|呼吸器内科|循環器内科|消化器内科|麻,○,0158-24-3111,44.361728,143.3467171,150,148,,,,2,○
544,帯広,ＪＡ北海道厚生連帯広厚生病院,S30.12.26,S30.12.28,080-0016,帯広市西6条南8丁目1番地,10,北海道厚生農業協同組合連合会,菊池英明,|内|精|神内|呼|消|循|小|外|整|形|皮|泌|産婦|眼|耳|リハ|放|麻|心外|脳|病理診断科|,○,0155-24-4161,42.9227295,143.1945505,748,672,,70,,6,○
550,帯広,医療法人社団慶愛慶愛病院,S63.8.11,S63.9.1,080-0803,帯広市東3条南9丁目2番地,19,医療法人社団慶愛,真井康博,|小|産|婦|,,0155-22-4188,42.9227916,143.2104071,51,51,,,,,○
557,帯広,社会福祉法人北海道社会事業協会帯広病院,H9.7.16,H11.4.1,080-0805,帯広市東5条南9丁目2番地,9,社会福祉法人北海道社会事業協会,阿部厚憲,|内|消|循|呼|外|小|整|脳|産婦|眼|耳|精|麻|リハ|リウ|泌|形|腎臓内科|放|,○,0155-22-6600,42.9226529,143.2137512,300,300,,,,,○
569,帯広,公立芽室病院,S29.12.2,S30.2.18,082-0014,河西郡芽室町東4条3丁目5番地,6,芽室町,小窪正樹,|内|小|外|整|産婦|放|歯|眼|耳|リハ|麻|,○,0155-62-2811,42.9129846,143.0545178,150,150,,,,,○
578,釧路,市立釧路総合病院,昭56.10.８,昭59.９.24,085-0822,釧路市春湖台1番12号,6,釧路市,高平　真,内|精|神|呼吸器内科|消化器内科|心臓血管内科|小|外|整|脳|心外|皮|泌|産婦|眼|耳|放|歯|歯外|麻|リウ|リハ|アレ|病理診断科,○,0154-41-6121,42.9769812,144.40367,643,535,,94,10,4,○
580,釧路,総合病院釧路赤十字病院,昭34.８.３,昭34.12.１,085-0032,釧路市新栄町21番14号,7,日本赤十字社,二瓶　和喜,内|精|消化器外科|小|外|整|皮|泌|産婦|眼|耳|リハ|放|歯|矯歯|歯外|麻|病理診断科,○,0154-22-7171,43.0016023,144.3810274,489,431,,58,,,○
604,中標津,町立中標津病院,H8.12.19,H11.4.1,086-1110,標津郡中標津町西10条南9丁目1番地1,6,中標津町,長渕　英介,内|精|循|小|外|整|産婦|眼|耳|皮|泌|リハ|放|麻,○,0153-72-8200,43.5370528,144.9715868,199,180,19,,,,○
606,中標津,町立別海病院,S26.10.25,S26.11.13,086-0203,野付郡別海町別海西本町103番地9,6,別海町,西村　進,内|精|心内|小|外|産婦|耳|眼|皮|リハ,○,0153-75-2311,43.391649,145.1215014,84,84,,,,,○
